End Date,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
01/31/2020,2020.0,1.0,Rhode Island,All Sexes,50-64 years,0.0,117.0,28.0,0.0,0.0,30.5
01/31/2020,2020.0,1.0,Maryland,Male,65-74 years,0.0,504.0,31.0,0.0,0.0,33.0
01/31/2020,2020.0,1.0,Pennsylvania,All Sexes,0-17 years,0.0,111.0,15.5,0.0,0.0,28.285714285714285
01/31/2020,2020.0,1.0,Missouri,All Sexes,35-44 years,0.0,166.0,0.0,0.0,0.0,23.57142857142857
01/31/2020,2020.0,1.0,Idaho,Male,65-74 years,0.0,127.0,0.0,0.0,0.0,18.857142857142858
01/31/2020,2020.0,1.0,Kentucky,Male,35-44 years,0.0,91.0,0.0,0.0,0.0,14.142857142857142
01/31/2020,2020.0,1.0,Tennessee,Male,35-44 years,0.0,169.0,0.0,0.0,0.0,9.428571428571427
01/31/2020,2020.0,1.0,Nevada,Male,0-17 years,0.0,16.0,0.0,0.0,0.0,4.714285714285715
01/31/2020,2020.0,1.0,Delaware,Male,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Iowa,All Sexes,18-29 years,0.0,32.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Idaho,Female,30-39 years,0.0,12.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Louisiana,Female,Under 1 year,0.0,13.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Delaware,Female,45-54 years,0.0,19.0,27.5,0.0,6.0,33.5
01/31/2020,2020.0,1.0,Florida,Female,55-64 years,0.0,932.0,55.0,0.0,12.0,67.0
01/31/2020,2020.0,1.0,Wyoming,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,California,Male,50-64 years,0.0,2593.0,161.0,0.0,30.0,191.0
01/31/2020,2020.0,1.0,Virginia,Male,50-64 years,0.0,640.0,22.0,0.0,15.0,28.0
01/31/2020,2020.0,1.0,Massachusetts,Female,5-14 years,0.0,1264.6666666666665,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Vermont,Male,35-44 years,0.0,1889.3333333333333,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,New Jersey,All Sexes,85 years and over,0.0,2514.0,142.0,0.0,19.0,161.0
01/31/2020,2020.0,1.0,Maryland,Female,25-34 years,0.0,21.0,227.0,0.0,30.0,257.0
01/31/2020,2020.0,1.0,Ohio,Female,All Ages,0.0,5609.0,312.0,0.0,41.0,353.0
01/31/2020,2020.0,1.0,Utah,Female,65-74 years,0.0,138.0,13.0,0.0,20.5,14.0
01/31/2020,2020.0,1.0,Kansas,Female,18-29 years,0.0,232.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Ohio,All Sexes,35-44 years,0.0,326.0,15.0,0.0,0.0,20.0
01/31/2020,2020.0,1.0,Montana,All Sexes,45-54 years,0.0,49.0,32.0,0.0,0.0,39.0
01/31/2020,2020.0,1.0,Oklahoma,All Sexes,50-64 years,0.0,666.0,49.0,0.0,0.0,58.0
01/31/2020,2020.0,1.0,Tennessee,Male,45-54 years,0.0,296.0,22.0,0.0,0.0,25.0
01/31/2020,2020.0,1.0,North Dakota,Male,85 years and over,0.0,92.0,39.5,0.0,0.0,41.5
01/31/2020,2020.0,1.0,Puerto Rico,Male,85 years and over,0.0,355.0,57.0,0.0,0.0,58.0
01/31/2020,2020.0,1.0,Texas,Male,0-17 years,0.0,178.0,38.0,0.0,0.0,38.66666666666667
01/31/2020,2020.0,1.0,Alabama,All Sexes,1-4 years,0.0,12.0,19.0,0.0,0.0,19.333333333333336
01/31/2020,2020.0,1.0,South Dakota,Male,25-34 years,0.0,1161.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Kentucky,Male,All Ages,0.0,2310.0,212.0,0.0,21.0,233.0
01/31/2020,2020.0,1.0,Delaware,All Sexes,15-24 years,0.0,10.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,New Mexico,All Sexes,15-24 years,0.0,32.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,New Jersey,Male,18-29 years,0.0,59.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Vermont,Female,45-54 years,0.0,37.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Nebraska,All Sexes,Under 1 year,0.0,15.0,0.0,0.0,0.0,80.0
01/31/2020,2020.0,1.0,Minnesota,All Sexes,15-24 years,0.0,30.0,107.5,0.0,0.0,160.0
01/31/2020,2020.0,1.0,Kentucky,Female,All Ages,0.0,2220.0,215.0,0.0,25.0,240.0
01/31/2020,2020.0,1.0,Alaska,Male,All Ages,0.0,231.0,147.5,0.0,22.5,163.0
01/31/2020,2020.0,1.0,West Virginia,Female,All Ages,0.0,1031.0,80.0,0.0,20.0,86.0
01/31/2020,2020.0,1.0,Wisconsin,All Sexes,35-44 years,0.0,107.0,83.0,0.0,17.5,93.5
01/31/2020,2020.0,1.0,Connecticut,Male,All Ages,0.0,1448.0,86.0,0.0,15.0,101.0
01/31/2020,2020.0,1.0,Florida,All Sexes,0-17 years,0.0,211.0,187.0,0.0,36.0,11.0
01/31/2020,2020.0,1.0,California,All Sexes,50-64 years,0.0,4123.0,288.0,0.0,57.0,345.0
01/31/2020,2020.0,1.0,North Carolina,All Sexes,15-24 years,0.0,86.0,144.0,0.0,0.0,172.5
01/31/2020,2020.0,1.0,West Virginia,Female,35-44 years,0.0,19.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Michigan,Male,0-17 years,0.0,46.0,23.333333333333332,0.0,0.0,25.666666666666668
01/31/2020,2020.0,1.0,Montana,Male,75-84 years,0.0,136.0,46.666666666666664,0.0,6.5,51.333333333333336
01/31/2020,2020.0,1.0,New York City,All Sexes,65-74 years,0.0,958.0,70.0,0.0,13.0,77.0
01/31/2020,2020.0,1.0,Arkansas,Male,50-64 years,0.0,335.0,23.0,0.0,19.5,27.0
01/31/2020,2020.0,1.0,California,Female,65-74 years,0.0,1968.0,164.0,0.0,26.0,190.0
01/31/2020,2020.0,1.0,New Jersey,Male,Under 1 year,0.0,12.0,123.0,0.0,0.0,131.33333333333334
01/31/2020,2020.0,1.0,Virginia,Male,18-29 years,0.0,103.0,82.0,0.0,0.0,72.66666666666667
01/31/2020,2020.0,1.0,South Carolina,Female,45-54 years,0.0,123.0,41.0,0.0,0.0,14.0
01/31/2020,2020.0,1.0,Iowa,Female,35-44 years,0.0,15.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Michigan,Male,1-4 years,0.0,87.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Arizona,Female,5-14 years,0.0,159.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Iowa,Male,Under 1 year,0.0,231.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Oregon,Male,50-64 years,0.0,303.0,11.0,0.0,0.0,14.0
01/31/2020,2020.0,1.0,New York City,Female,18-29 years,0.0,34.0,16.5,0.0,0.0,18.5
01/31/2020,2020.0,1.0,South Carolina,Male,85 years and over,0.0,434.0,22.0,0.0,0.0,23.0
01/31/2020,2020.0,1.0,Nevada,Female,Under 1 year,0.0,230.5,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Nebraska,Male,40-49 years,0.0,27.0,33.0,0.0,0.0,40.0
01/31/2020,2020.0,1.0,Colorado,All Sexes,85 years and over,0.0,1161.0,66.0,0.0,14.0,80.0
01/31/2020,2020.0,1.0,New Mexico,All Sexes,18-29 years,0.0,49.0,49.5,0.0,15.0,64.5
01/31/2020,2020.0,1.0,Georgia,Female,50-64 years,0.0,642.0,33.0,0.0,16.0,49.0
01/31/2020,2020.0,1.0,Virginia,Male,40-49 years,0.0,156.0,31.5,0.0,12.0,42.0
01/31/2020,2020.0,1.0,Oregon,All Sexes,65-74 years,0.0,647.0,30.0,0.0,8.0,35.0
01/31/2020,2020.0,1.0,North Dakota,Male,65-74 years,0.0,55.0,325.6666666666667,0.0,4.0,390.3333333333333
01/31/2020,2020.0,1.0,Arizona,Male,5-14 years,0.0,6784.5,621.3333333333334,0.0,0.0,745.6666666666666
01/31/2020,2020.0,1.0,United States,Female,55-64 years,0.0,13514.0,917.0,0.0,184.0,1101.0
01/31/2020,2020.0,1.0,California,Female,18-29 years,0.0,121.0,491.0,0.0,98.5,11.0
01/31/2020,2020.0,1.0,Tennessee,Female,65-74 years,0.0,693.0,65.0,0.0,13.0,78.0
01/31/2020,2020.0,1.0,Tennessee,Female,1-4 years,0.0,357.5,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Minnesota,Female,0-17 years,0.0,22.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Maryland,All Sexes,30-39 years,0.0,125.0,6.5,0.0,0.0,9.0
01/31/2020,2020.0,1.0,Ohio,Female,45-54 years,0.0,237.0,13.0,0.0,0.0,18.0
01/31/2020,2020.0,1.0,Washington,Female,Under 1 year,0.0,22.0,10.4,0.0,0.0,14.4
01/31/2020,2020.0,1.0,North Dakota,Male,75-84 years,0.0,78.0,7.8,0.0,0.0,10.8
01/31/2020,2020.0,1.0,Indiana,All Sexes,35-44 years,0.0,183.0,5.199999999999999,0.0,0.0,7.199999999999999
01/31/2020,2020.0,1.0,District of Columbia,Female,65-74 years,0.0,54.0,2.5999999999999996,0.0,0.0,3.5999999999999996
01/31/2020,2020.0,1.0,Oregon,Female,5-14 years,0.0,27.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Utah,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Washington,Male,5-14 years,0.0,10.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Ohio,Female,35-44 years,0.0,113.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,South Carolina,All Sexes,Under 1 year,0.0,21.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Maine,Male,0-17 years,0.0,54.5,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Tennessee,All Sexes,0-17 years,0.0,88.0,0.0,0.0,0.0,10.0
01/31/2020,2020.0,1.0,Missouri,Male,15-24 years,0.0,50.0,0.0,0.0,0.0,6.666666666666666
01/31/2020,2020.0,1.0,Iowa,All Sexes,45-54 years,0.0,119.0,0.0,0.0,0.0,3.333333333333333
01/31/2020,2020.0,1.0,Massachusetts,Female,1-4 years,0.0,204.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Kentucky,All Sexes,45-54 years,0.0,289.0,18.0,0.0,9.5,20.0
01/31/2020,2020.0,1.0,South Carolina,All Sexes,50-64 years,0.0,876.0,55.0,0.0,19.0,74.0
01/31/2020,2020.0,1.0,Arkansas,Male,25-34 years,0.0,34.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Delaware,Male,30-39 years,0.0,19.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Rhode Island,Male,55-64 years,0.0,54.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,California,All Sexes,5-14 years,0.0,54.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Alaska,Female,All Ages,0.0,191.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Michigan,Female,30-39 years,0.0,63.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Missouri,Female,15-24 years,0.0,17.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,West Virginia,Male,35-44 years,0.0,50.0,20.5,0.0,0.0,23.5
01/31/2020,2020.0,1.0,Arizona,Female,75-84 years,0.0,693.0,41.0,0.0,0.0,47.0
01/31/2020,2020.0,1.0,Alabama,All Sexes,15-24 years,0.0,56.0,0.0,0.0,0.0,31.333333333333336
01/31/2020,2020.0,1.0,Minnesota,Male,30-39 years,0.0,55.0,0.0,0.0,0.0,15.666666666666668
01/31/2020,2020.0,1.0,Hawaii,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Arizona,Female,35-44 years,0.0,65.0,0.0,0.0,0.0,18.666666666666668
01/31/2020,2020.0,1.0,Mississippi,Male,1-4 years,0.0,491.5,0.0,0.0,5.0,37.333333333333336
01/31/2020,2020.0,1.0,North Carolina,Male,50-64 years,0.0,918.0,46.0,0.0,10.0,56.0
01/31/2020,2020.0,1.0,Wyoming,All Sexes,45-54 years,0.0,30.0,48.5,0.0,0.0,55.0
01/31/2020,2020.0,1.0,South Carolina,Female,85 years and over,0.0,751.0,51.0,0.0,0.0,54.0
01/31/2020,2020.0,1.0,Montana,Female,All Ages,0.0,430.0,21.0,0.0,0.0,23.0
01/31/2020,2020.0,1.0,Vermont,Female,55-64 years,0.0,21.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,New York,All Sexes,15-24 years,0.0,64.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Wisconsin,Female,5-14 years,0.0,71.5,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Maryland,Male,25-34 years,0.0,79.0,35.0,0.0,0.0,39.0
01/31/2020,2020.0,1.0,Missouri,All Sexes,65-74 years,0.0,1234.0,70.0,0.0,0.0,78.0
01/31/2020,2020.0,1.0,Massachusetts,Female,0-17 years,0.0,27.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Wisconsin,Male,1-4 years,0.0,1097.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Ohio,Female,85 years and over,0.0,2167.0,120.0,0.0,0.0,129.0
01/31/2020,2020.0,1.0,New York,Male,30-39 years,0.0,118.0,221.5,0.0,0.0,286.5
01/31/2020,2020.0,1.0,United States,All Sexes,35-44 years,0.0,7585.0,323.0,0.0,121.0,444.0
01/31/2020,2020.0,1.0,Alaska,Male,55-64 years,0.0,46.0,232.0,0.0,0.0,300.5
01/31/2020,2020.0,1.0,Ohio,All Sexes,65-74 years,0.0,2257.0,141.0,0.0,16.0,157.0
01/31/2020,2020.0,1.0,Missouri,Female,All Ages,0.0,2900.0,184.0,0.0,18.0,202.0
01/31/2020,2020.0,1.0,New Hampshire,Female,65-74 years,0.0,87.0,103.5,0.0,12.0,113.5
01/31/2020,2020.0,1.0,West Virginia,Male,65-74 years,0.0,280.0,23.0,0.0,6.0,25.0
01/31/2020,2020.0,1.0,Alabama,Male,5-14 years,0.0,11.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Kansas,Male,18-29 years,0.0,34.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,North Carolina,Female,All Ages,0.0,4321.0,300.0,0.0,27.0,327.0
01/31/2020,2020.0,1.0,Hawaii,Male,65-74 years,0.0,115.0,12.0,0.0,0.0,12.0
01/31/2020,2020.0,1.0,New York,All Sexes,All Ages,0.0,9283.0,790.0,0.0,65.0,856.0
01/31/2020,2020.0,1.0,Michigan,Female,1-4 years,0.0,4751.5,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Utah,Male,75-84 years,0.0,220.0,15.0,0.0,5.333333333333333,16.0
01/31/2020,2020.0,1.0,Puerto Rico,Male,55-64 years,0.0,184.0,17.0,0.0,10.666666666666666,19.0
01/31/2020,2020.0,1.0,Arizona,Female,All Ages,0.0,2689.0,167.0,0.0,16.0,183.0
01/31/2020,2020.0,1.0,Connecticut,Male,35-44 years,0.0,62.0,111.33333333333334,0.0,0.0,122.0
01/31/2020,2020.0,1.0,North Carolina,Male,5-14 years,0.0,40.0,55.66666666666667,0.0,0.0,61.0
01/31/2020,2020.0,1.0,New Hampshire,Female,45-54 years,0.0,18.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Maine,Female,30-39 years,0.0,13.0,0.0,0.0,10.333333333333334,107.66666666666667
01/31/2020,2020.0,1.0,North Dakota,Female,50-64 years,0.0,44.0,146.0,0.0,20.666666666666668,215.33333333333334
01/31/2020,2020.0,1.0,North Carolina,Male,All Ages,0.0,4404.0,292.0,0.0,31.0,323.0
01/31/2020,2020.0,1.0,Alaska,All Sexes,40-49 years,0.0,23.0,224.66666666666669,0.0,0.0,266.3333333333333
01/31/2020,2020.0,1.0,Connecticut,Female,1-4 years,0.0,1494.5,157.33333333333334,0.0,0.0,209.66666666666669
01/31/2020,2020.0,1.0,United States,All Sexes,0-17 years,0.0,2966.0,90.0,0.0,63.0,153.0
01/31/2020,2020.0,1.0,New Mexico,Male,45-54 years,0.0,55.0,77.75,0.0,31.5,125.25
01/31/2020,2020.0,1.0,New York,Male,15-24 years,0.0,44.0,65.5,0.0,0.0,97.5
01/31/2020,2020.0,1.0,Kentucky,Female,30-39 years,0.0,39.0,53.25,0.0,0.0,69.75
01/31/2020,2020.0,1.0,West Virginia,All Sexes,75-84 years,0.0,572.0,41.0,0.0,0.0,42.0
01/31/2020,2020.0,1.0,New Mexico,Female,1-4 years,0.0,298.0,27.333333333333336,0.0,0.0,53.25
01/31/2020,2020.0,1.0,Nevada,Female,35-44 years,0.0,24.0,13.666666666666668,0.0,0.0,64.5
01/31/2020,2020.0,1.0,New Hampshire,All Sexes,25-34 years,0.0,22.0,0.0,0.0,0.0,75.75
01/31/2020,2020.0,1.0,Oklahoma,All Sexes,85 years and over,0.0,983.0,83.0,0.0,0.0,87.0
01/31/2020,2020.0,1.0,West Virginia,All Sexes,1-4 years,0.0,962.6666666666666,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Ohio,Female,1-4 years,0.0,942.3333333333334,42.0,0.0,0.0,44.0
01/31/2020,2020.0,1.0,Oklahoma,All Sexes,75-84 years,0.0,922.0,84.0,0.0,5.5,88.0
01/31/2020,2020.0,1.0,Tennessee,All Sexes,35-44 years,0.0,287.0,101.5,0.0,11.0,18.0
01/31/2020,2020.0,1.0,Arkansas,Male,All Ages,0.0,1542.0,119.0,0.0,7.333333333333334,127.0
01/31/2020,2020.0,1.0,South Carolina,All Sexes,18-29 years,0.0,94.0,0.0,0.0,3.666666666666667,98.0
01/31/2020,2020.0,1.0,Missouri,All Sexes,18-29 years,0.0,118.0,19.0,0.0,0.0,69.0
01/31/2020,2020.0,1.0,Oklahoma,Male,65-74 years,0.0,444.0,38.0,0.0,7.333333333333333,40.0
01/31/2020,2020.0,1.0,North Carolina,Female,55-64 years,0.0,452.0,23.0,0.0,14.666666666666666,26.0
01/31/2020,2020.0,1.0,South Carolina,Male,All Ages,0.0,2417.0,141.0,0.0,22.0,163.0
01/31/2020,2020.0,1.0,Mississippi,All Sexes,5-14 years,0.0,1696.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Idaho,All Sexes,5-14 years,0.0,975.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Virginia,All Sexes,40-49 years,0.0,254.0,12.0,0.0,0.0,13.0
01/31/2020,2020.0,1.0,Vermont,All Sexes,18-29 years,0.0,682.5,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,New York,Female,75-84 years,0.0,1111.0,85.0,0.0,5.0,92.0
01/31/2020,2020.0,1.0,Connecticut,All Sexes,25-34 years,0.0,53.0,86.0,0.0,10.0,97.0
01/31/2020,2020.0,1.0,Connecticut,Female,All Ages,0.0,1414.0,87.0,0.0,15.0,102.0
01/31/2020,2020.0,1.0,United States,All Sexes,55-64 years,1.0,34276.0,2085.0,0.0,410.0,2496.0
01/31/2020,2020.0,1.0,Indiana,Male,85 years and over,0.0,682.0,69.0,0.0,307.5,71.0
01/31/2020,2020.0,1.0,Wisconsin,Male,45-54 years,0.0,148.0,55.75,0.0,205.0,57.25
01/31/2020,2020.0,1.0,North Carolina,Female,18-29 years,0.0,47.0,42.5,0.0,102.5,43.5
01/31/2020,2020.0,1.0,Oregon,Female,18-29 years,0.0,15.0,29.25,0.0,0.0,29.75
01/31/2020,2020.0,1.0,Maine,Male,75-84 years,0.0,190.0,16.0,0.0,0.0,16.0
01/31/2020,2020.0,1.0,Maryland,All Sexes,75-84 years,0.0,1084.0,99.0,0.0,0.0,107.0
01/31/2020,2020.0,1.0,North Dakota,All Sexes,1-4 years,0.0,602.5,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,North Carolina,Male,18-29 years,0.0,121.0,6.0,0.0,0.0,7.5
01/31/2020,2020.0,1.0,Georgia,Male,45-54 years,0.0,318.0,12.0,0.0,4.5,15.0
01/31/2020,2020.0,1.0,Colorado,All Sexes,65-74 years,0.0,731.0,43.0,0.0,9.0,50.0
01/31/2020,2020.0,1.0,Rhode Island,Male,85 years and over,0.0,151.0,12.0,0.0,13.5,14.0
01/31/2020,2020.0,1.0,Michigan,Male,All Ages,0.0,4461.0,270.0,0.0,18.0,288.0
01/31/2020,2020.0,1.0,New York City,Female,35-44 years,0.0,55.0,135.0,0.0,0.0,144.0
01/31/2020,2020.0,1.0,Delaware,Female,15-24 years,0.0,183.5,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Texas,All Sexes,0-17 years,0.0,312.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Connecticut,Male,Under 1 year,0.0,222.66666666666669,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Mississippi,Female,Under 1 year,0.0,133.33333333333334,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Alaska,Male,75-84 years,0.0,44.0,17.5,0.0,0.0,22.0
01/31/2020,2020.0,1.0,Texas,Male,40-49 years,0.0,514.0,35.0,0.0,0.0,44.0
01/31/2020,2020.0,1.0,New York City,Male,Under 1 year,0.0,17.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Florida,Female,25-34 years,0.0,93.0,3.0,0.0,0.0,4.8
01/31/2020,2020.0,1.0,Kansas,Male,45-54 years,0.0,71.0,6.0,0.0,0.0,9.6
01/31/2020,2020.0,1.0,Mississippi,Female,30-39 years,0.0,23.0,9.0,0.0,0.0,14.399999999999999
01/31/2020,2020.0,1.0,Wisconsin,All Sexes,15-24 years,0.0,35.0,12.0,0.0,0.0,19.2
01/31/2020,2020.0,1.0,Tennessee,All Sexes,40-49 years,0.0,355.0,15.0,0.0,8.0,24.0
01/31/2020,2020.0,1.0,California,Male,15-24 years,0.0,193.0,54.0,0.0,16.0,70.5
01/31/2020,2020.0,1.0,California,All Sexes,45-54 years,0.0,1414.0,93.0,0.0,24.0,117.0
01/31/2020,2020.0,1.0,Virginia,Male,35-44 years,0.0,140.0,46.5,0.0,0.0,58.5
01/31/2020,2020.0,1.0,Louisiana,All Sexes,18-29 years,0.0,101.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,North Dakota,All Sexes,65-74 years,0.0,99.0,16.0,0.0,0.0,20.0
01/31/2020,2020.0,1.0,South Carolina,Male,50-64 years,0.0,520.0,32.0,0.0,0.0,40.0
01/31/2020,2020.0,1.0,District of Columbia,All Sexes,45-54 years,0.0,55.0,169.5,0.0,0.0,185.0
01/31/2020,2020.0,1.0,Pennsylvania,All Sexes,85 years and over,0.0,4368.0,307.0,0.0,23.0,330.0
01/31/2020,2020.0,1.0,North Dakota,Male,45-54 years,0.0,17.0,212.66666666666669,0.0,0.0,229.0
01/31/2020,2020.0,1.0,Kansas,Male,Under 1 year,0.0,12.0,118.33333333333334,0.0,0.0,128.0
01/31/2020,2020.0,1.0,Oregon,Female,75-84 years,0.0,372.0,24.0,0.0,0.0,27.0
01/31/2020,2020.0,1.0,Massachusetts,Female,65-74 years,0.0,369.0,16.0,0.0,0.0,19.0
01/31/2020,2020.0,1.0,Montana,All Sexes,15-24 years,0.0,12.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Florida,Female,85 years and over,0.0,3534.0,194.0,0.0,15.0,209.0
01/31/2020,2020.0,1.0,North Carolina,All Sexes,30-39 years,0.0,221.0,145.5,0.0,7.5,13.0
01/31/2020,2020.0,1.0,District of Columbia,All Sexes,55-64 years,0.0,120.0,97.0,0.0,0.0,8.666666666666668
01/31/2020,2020.0,1.0,Iowa,Male,45-54 years,0.0,64.0,48.5,0.0,0.0,4.333333333333334
01/31/2020,2020.0,1.0,Kansas,Male,5-14 years,0.0,99.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Texas,Female,0-17 years,0.0,134.0,6.0,0.0,3.0,7.0
01/31/2020,2020.0,1.0,Illinois,Female,45-54 years,0.0,192.0,12.0,0.0,6.0,14.0
01/31/2020,2020.0,1.0,Oklahoma,All Sexes,Under 1 year,0.0,20.0,36.5,0.0,9.0,43.5
01/31/2020,2020.0,1.0,Kentucky,All Sexes,50-64 years,0.0,871.0,61.0,0.0,12.0,73.0
01/31/2020,2020.0,1.0,Georgia,Male,1-4 years,0.0,900.0,0.0,0.0,0.0,0.0
01/31/2020,2020.0,1.0,Utah,Male,All Ages,0.0,929.0,52.0,0.0,10.0,62.0
01/31/2020,2020.0,1.0,Connecticut,All Sexes,40-49 years,0.0,83.0,39.0,0.0,5.0,46.5
01/31/2020,2020.0,1.0,Ohio,All Sexes,5-14 years,0.0,16.0,26.0,0.0,0.0,31.0
